lemma,type,constraint_on_parent,polarity
protože,cause,,
poněvadž,cause,,
jelikož,cause,,
až,temporal,,
dokud,temporal,,
jakmile,temporal,,
sotva,temporal,,
sotvaže,temporal,,
kdykoli,temporal,,
kdykoliv,temporal,,
třebaže,concession,,
přestože,concession,,
ačkoli,concession,,
ač,concession,,
ačkoliv,concession,,
pokud,condition,,
jestli,condition,,
jestliže,condition,,
pakliže,condition,,
li,condition,,
aby,purpose,,
aniž,manner,,-
ledaže,condition,Mood=Cnd,-
leda,condition,,-
