lemma,type,constraint_on_parent,polarity
quando,temporal,,
prima,temporal,,
dopo,temporal,,
finché,temporal,,
siccome,cause,,
perché,cause,Mood=Ind,
poiché,cause,,
perché,purpose,Mood=Sub,
affinché,purpose,Mood=Sub,
per,purpose,VerbForm=Inf,
sebbene,concession,,
benché,concession,,
nonostante,concession,,
purché,condition,,
se,condition,,
da,consecutive,VerbForm=Inf,
senza,manner,,-
